entry,structure,prem_cap,need_cap,delta_floor,trades,wins,win_rate,pnl,pnl_exBANKEX,worst
14:50,v1,0.2,0.4,0.1,9,2,22,-68876,-50744,-19984
14:50,v1,0.2,0.4,0.2,9,2,22,-68876,-50744,-19984
14:50,v1,0.2,0.4,0.3,8,2,25,-48976,-30844,-19984
14:50,v1,0.25,,,9,2,22,-68876,-50744,-19984
14:50,v1,0.25,,0.1,9,2,22,-68876,-50744,-19984
14:50,v1,0.25,,0.2,9,2,22,-68876,-50744,-19984
14:50,v1,0.25,,0.3,8,2,25,-48976,-30844,-19984
14:50,v1,0.25,0.3,,9,2,22,-68876,-50744,-19984
14:50,v1,0.25,0.3,0.1,9,2,22,-68876,-50744,-19984
14:50,v1,0.25,0.3,0.2,9,2,22,-68876,-50744,-19984
14:50,v1,0.25,0.3,0.3,8,2,25,-48976,-30844,-19984
14:50,v1,0.25,0.35,,9,2,22,-68876,-50744,-19984
14:50,v1,0.25,0.35,0.1,9,2,22,-68876,-50744,-19984
14:50,v1,0.25,0.35,0.2,9,2,22,-68876,-50744,-19984
14:50,v1,0.25,0.35,0.3,8,2,25,-48976,-30844,-19984
14:50,v1,0.25,0.4,,9,2,22,-68876,-50744,-19984
14:50,v1,0.25,0.4,0.1,9,2,22,-68876,-50744,-19984
14:50,v1,0.25,0.4,0.2,9,2,22,-68876,-50744,-19984
14:50,v1,0.25,0.4,0.3,8,2,25,-48976,-30844,-19984
14:50,v1,0.3,,,9,2,22,-68876,-50744,-19984
14:50,v1,0.3,,0.1,9,2,22,-68876,-50744,-19984
14:50,v1,0.3,,0.2,9,2,22,-68876,-50744,-19984
14:50,v1,0.3,,0.3,8,2,25,-48976,-30844,-19984
14:50,v1,0.3,0.3,,9,2,22,-68876,-50744,-19984
14:50,v1,0.3,0.3,0.1,9,2,22,-68876,-50744,-19984
14:50,v1,0.3,0.3,0.2,9,2,22,-68876,-50744,-19984
14:50,v1,0.3,0.3,0.3,8,2,25,-48976,-30844,-19984
14:50,v1,0.3,0.35,,9,2,22,-68876,-50744,-19984
14:50,v1,0.3,0.35,0.1,9,2,22,-68876,-50744,-19984
14:50,v1,0.3,0.35,0.2,9,2,22,-68876,-50744,-19984
14:50,v1,0.3,0.35,0.3,8,2,25,-48976,-30844,-19984
14:50,v1,0.3,0.4,,9,2,22,-68876,-50744,-19984
14:50,v1,0.3,0.4,0.1,9,2,22,-68876,-50744,-19984
14:50,v1,0.3,0.4,0.2,9,2,22,-68876,-50744,-19984
14:50,v1,0.3,0.4,0.3,8,2,25,-48976,-30844,-19984
15:00,OTM1,,,,12,7,58,132789,33917,-18910
15:00,OTM1,,,0.1,12,7,58,132789,33917,-18910
15:00,OTM1,,,0.2,11,6,55,107878,9006,-18910
15:00,OTM1,,,0.3,10,5,50,99610,738,-18910
15:00,OTM1,,0.3,,11,7,64,143267,44395,-18910
15:00,OTM1,,0.3,0.1,11,7,64,143267,44395,-18910
15:00,OTM1,,0.3,0.2,10,6,60,118356,19484,-18910
15:00,OTM1,,0.3,0.3,9,5,56,110088,11216,-18910
15:00,OTM1,,0.35,,11,7,64,143267,44395,-18910
