date,open,high,low,close
2024-11-18,77863.54,77886.97,76965.06,77339.01
2024-11-19,77548.0,78451.65,77411.31,77578.38
2024-11-21,77711.11,77711.11,76802.73,77155.79
2024-11-22,77349.74,79218.19,77226.69,79117.11
2024-11-25,80193.47,80473.08,79765.99,80109.85
2024-11-26,80415.47,80482.36,79798.67,80004.06
2024-11-27,80121.03,80511.15,79844.49,80234.08
2024-11-28,80281.64,80447.4,78918.92,79043.74
2024-11-29,79032.99,79923.9,79026.18,79802.79
2024-12-02,79743.87,80337.82,79308.95,80248.08
2024-12-03,80529.2,80949.1,80244.78,80845.75
2024-12-04,81036.22,81245.39,80630.53,80956.33
2024-12-05,81182.74,82317.74,80467.37,81765.86
2024-12-06,81887.54,81925.91,81506.19,81709.12
2024-12-09,81602.58,81783.28,81411.55,81508.46
2024-12-10,81575.96,81726.34,81182.69,81510.05
2024-12-11,81568.39,81742.37,81383.42,81526.14
2024-12-12,81476.76,81680.97,81211.64,81289.96
2024-12-13,81212.45,82213.92,80082.82,82133.12
2024-12-16,82000.31,82116.44,81551.28,81748.57
2024-12-17,81511.81,81613.64,80612.2,80684.45
2024-12-18,80666.26,80868.02,80050.07,80182.2
2024-12-19,79029.03,79516.17,79020.08,79218.05
2024-12-20,79335.48,79587.15,77874.59,78041.59
2024-12-23,78488.64,78918.12,78189.19,78540.17
2024-12-24,78707.37,78877.36,78397.79,78472.87
2024-12-26,78557.28,78898.37,78173.38,78472.48
2024-12-27,78607.62,79043.15,78598.55,78699.07
2024-12-30,78637.58,79092.7,78077.13,78248.13
2024-12-31,77982.57,78305.34,77560.79,78139.01
2025-01-01,78265.07,78756.49,77898.3,78507.41
2025-01-02,78657.52,80032.87,78542.37,79943.71
2025-01-03,80072.99,80072.99,79109.73,79223.11
2025-01-06,79281.65,79532.67,77781.62,77964.99
2025-01-07,78019.8,78452.74,77925.09,78199.11
2025-01-08,78319.45,78319.45,77486.79,78148.49
2025-01-09,78206.21,78206.21,77542.92,77620.21
2025-01-10,77682.59,77919.7,77099.55,77378.91
2025-01-13,76629.9,77128.35,76249.72,76330.01
2025-01-14,76335.75,76835.61,76335.75,76499.63
2025-01-15,76900.14,76991.05,76479.7,76724.08
2025-01-16,77319.5,77319.5,76895.51,77042.82
2025-01-17,77069.19,77069.19,76263.29,76619.33
2025-01-20,76978.53,77318.94,76584.84,77073.44
2025-01-21,77261.72,77337.36,75641.87,75838.36
2025-01-22,76114.42,76463.13,75816.5,76404.99
2025-01-23,76414.52,76743.54,76202.12,76520.38
2025-01-24,76455.35,76985.95,76091.75,76190.46
2025-01-27,75700.43,75925.72,75267.59,75366.17
2025-01-28,75659.0,76512.96,75622.88,75901.41
2025-01-29,76138.24,76599.73,75975.8,76532.96
2025-01-30,76598.84,76962.88,76401.13,76759.81
2025-01-31,76888.89,77605.96,76833.87,77500.57
2025-02-01,77637.01,77899.05,77006.47,77505.96
2025-02-03,77063.94,77260.37,76756.09,77186.74
2025-02-04,77687.6,78658.59,77402.37,78583.81
2025-02-05,78704.6,78735.41,78216.25,78271.28
2025-02-06,78513.36,78551.66,77843.99,78058.16
2025-02-07,78119.6,78356.98,77475.74,77860.19
2025-02-10,77789.3,77849.58,77106.89,77311.8
2025-02-11,77384.98,77387.28,76030.59,76293.6
2025-02-12,76188.24,76459.72,75388.39,76171.08
2025-02-13,76201.1,76764.53,76013.43,76138.97
2025-02-14,76388.99,76483.06,75439.64,75939.21
2025-02-17,75641.41,76041.96,75294.76,75996.86
2025-02-18,76073.71,76091.69,75531.01,75967.39
2025-02-19,75787.27,76338.58,75581.38,75939.18
2025-02-20,75672.84,75794.15,75463.01,75735.96
2025-02-21,75612.61,75748.72,75112.41,75311.06
2025-02-24,74893.45,74907.04,74387.44,74454.41
2025-02-25,74440.3,74785.08,74400.37,74602.12
2025-02-27,74706.6,74834.09,74520.78,74612.43
2025-02-28,74201.77,74282.43,73141.27,73198.1
2025-03-03,73427.65,73649.72,72784.54,73085.94
2025-03-04,72817.34,73033.18,72633.54,72989.93
2025-03-05,73005.37,73933.8,72894.05,73730.23
2025-03-06,74308.3,74390.8,73415.68,74340.09
2025-03-07,74347.14,74586.43,74038.03,74332.58
2025-03-10,74474.98,74741.25,74022.24,74115.17
2025-03-11,73743.88,74195.17,73663.6,74102.32
2025-03-12,74270.81,74392.15,73598.16,74029.76
2025-03-13,74392.54,74401.11,73770.59,73828.91
2025-03-17,73830.03,74376.35,73796.06,74169.95
2025-03-18,74608.66,75385.76,74480.15,75301.26
2025-03-19,75473.17,75568.38,75201.48,75449.05
2025-03-20,75917.11,76456.25,75684.58,76348.06
2025-03-21,76155.0,77041.94,76095.26,76905.51
2025-03-24,77456.27,78107.23,77179.35,77984.38
2025-03-25,78296.28,78741.69,77745.63,78017.19
2025-03-26,78021.45,78167.87,77194.22,77288.5
2025-03-27,77087.39,77747.46,77082.51,77606.43
2025-03-28,77690.69,77766.7,77185.62,77414.92
2025-04-01,76882.58,77487.05,75912.18,76024.51
2025-04-02,76146.28,76680.35,76064.94,76617.44
2025-04-03,75811.86,76493.74,75807.55,76295.36
2025-04-04,76160.09,76258.12,75240.55,75364.69
2025-04-07,71449.94,73403.99,71425.01,73137.9
2025-04-08,74013.73,74859.39,73424.92,74227.08
2025-04-09,74103.83,74103.83,73673.06,73847.15
2025-04-11,74835.49,75467.33,74762.84,75157.26
2025-04-15,76852.06,76907.63,76435.07,76734.89
2025-04-16,76996.78,77110.23,76543.77,77044.29
2025-04-17,76968.02,78616.77,76665.77,78553.2
2025-04-21,78903.09,79635.05,78776.06,79408.5
2025-04-22,79728.39,79824.3,79253.44,79595.59
2025-04-23,80142.09,80254.55,79506.9,80116.49
2025-04-24,80058.43,80173.92,79724.55,79801.43
2025-04-25,79830.15,80130.66,78605.81,79212.53
2025-04-28,79343.63,80321.88,79341.35,80218.37
2025-04-29,80396.92,80661.31,80122.02,80288.38
2025-04-30,80370.8,80525.61,79879.15,80242.24
2025-05-02,80300.19,81177.93,80168.59,80501.99
2025-05-05,80661.62,81049.03,80657.71,80796.84
2025-05-06,80907.24,80981.58,80481.03,80641.07
2025-05-07,79948.8,80844.63,79937.48,80746.78
2025-05-08,80912.34,80927.99,79987.61,80334.81
2025-05-09,78968.34,80032.93,78968.34,79454.47
2025-05-12,80803.8,82495.97,80651.07,82429.9
2025-05-13,82249.6,82572.81,81043.69,81148.22
2025-05-14,81278.49,81691.87,80910.03,81330.56
2025-05-15,81354.43,82718.14,80762.16,82530.74
2025-05-16,82392.63,82514.81,82146.95,82330.59
2025-05-19,82354.92,82424.1,81964.57,82059.42
2025-05-20,82116.17,82250.42,81153.7,81186.44
2025-05-21,81327.61,82021.64,81237.06,81596.63
2025-05-22,81323.05,81323.24,80489.92,80951.99
2025-05-23,80897.0,81905.17,80897.0,81721.08
2025-05-26,81928.95,82492.24,81867.23,82176.45
2025-05-27,82038.2,82410.52,81121.7,81551.63
2025-05-28,81457.61,81613.36,81244.02,81312.32
2025-05-29,81591.03,81816.89,81106.98,81633.02
2025-05-30,81465.69,81698.21,81286.45,81451.01
2025-06-02,81214.42,81474.26,80654.26,81373.75
2025-06-03,81492.5,81774.23,80575.09,80737.51
2025-06-04,80777.65,81087.29,80705.18,80998.25
2025-06-05,81196.08,81911.13,80983.73,81442.04
2025-06-06,81434.24,82299.89,81140.11,82188.99
2025-06-09,82574.55,82669.0,82369.24,82445.21
2025-06-10,82643.73,82680.79,82240.4,82391.72
2025-06-11,82473.02,82783.51,82308.91,82515.14
2025-06-12,82571.67,82661.04,81523.16,81691.98
2025-06-13,80427.81,81238.68,80354.59,81118.6
2025-06-16,81034.45,81865.82,81012.31,81796.15
2025-06-17,81869.47,81890.15,81427.01,81583.3
2025-06-18,81314.62,81858.97,81237.01,81444.66
2025-06-19,81403.94,81583.94,81191.04,81361.87
2025-06-20,81354.85,82494.49,81323.2,82408.17
2025-06-23,81704.07,82169.67,81476.76,81896.79
2025-06-24,82534.61,83018.16,81900.12,82055.11
2025-06-25,82448.8,82815.91,82339.57,82755.51
2025-06-26,82882.92,83812.09,82816.26,83755.87
2025-06-27,83774.45,84089.35,83645.41,84058.9
2025-06-30,84027.33,84099.53,83482.13,83606.46
2025-07-01,83685.66,83874.29,83572.51,83697.29
2025-07-02,83790.72,83935.01,83150.77,83409.69
2025-07-03,83540.74,83850.09,83186.74,83239.47
2025-07-04,83306.81,83477.86,83015.83,83432.89
2025-07-07,83398.08,83516.82,83262.23,83442.5
2025-07-08,83387.03,83812.31,83320.95,83712.51
2025-07-09,83625.89,83781.36,83382.28,83536.08
2025-07-10,83658.2,83742.28,83134.97,83190.28
2025-07-11,82820.76,83040.74,82442.25,82500.47
2025-07-14,82537.87,82537.87,82010.38,82253.46
2025-07-15,82233.16,82743.62,82221.74,82570.91
2025-07-16,82534.66,82784.75,82342.94,82634.48
2025-07-17,82753.53,82757.09,82219.27,82259.24
2025-07-18,82193.62,82334.75,81608.13,81757.73
2025-07-21,81918.53,82274.03,81518.66,82200.34
2025-07-22,82527.43,82538.17,82110.63,82186.81
2025-07-23,82451.87,82786.43,82279.73,82726.64
2025-07-24,82779.95,82784.24,82047.22,82184.17
2025-07-25,82065.76,82069.51,81397.69,81463.09
2025-07-28,81299.97,81557.41,80776.44,80891.02
2025-07-29,80620.25,81429.88,80575.45,81337.95
2025-07-30,81594.52,81618.96,81187.06,81481.86
2025-07-31,80695.5,81803.27,80695.15,81185.58
2025-08-01,81074.41,81317.51,80495.57,80599.91
2025-08-04,80765.83,81093.19,80500.51,81018.72
2025-08-05,80946.43,81010.49,80554.4,80710.25
2025-08-06,80694.98,80834.43,80448.82,80543.99
2025-08-07,80262.98,80737.55,79811.29,80623.26
2025-08-08,80478.01,80550.4,79775.84,79857.79
2025-08-11,79885.36,80636.05,79772.46,80604.08
2025-08-12,80508.51,80997.67,80164.36,80235.59
2025-08-13,80492.17,80683.74,80319.0,80539.91
2025-08-14,80625.28,80751.18,80489.86,80597.66
2025-08-18,81315.79,81765.77,81202.42,81273.75
2025-08-19,81319.11,81755.88,81315.44,81644.39
2025-08-20,81671.47,81985.62,81494.5,81857.84
2025-08-21,82220.46,82231.17,81921.22,82000.71
2025-08-22,81951.48,81993.61,81291.77,81306.85
2025-08-25,81501.06,81799.06,81364.86,81635.91
2025-08-26,81377.39,81450.28,80685.98,80786.54
2025-08-28,80754.66,80775.71,80013.02,80080.57
2025-08-29,80010.83,80310.74,79741.76,79809.65
2025-09-01,79828.99,80406.84,79818.38,80364.49
2025-09-02,80520.09,80761.14,80008.5,80157.88
2025-09-03,80295.99,80671.28,80004.6,80567.71
2025-09-04,81456.67,81456.67,80608.94,80718.01
2025-09-05,81012.42,81036.56,80321.19,80710.76
2025-09-08,80904.4,81171.38,80733.07,80787.3
2025-09-09,81129.69,81181.37,80927.97,81101.32
2025-09-10,81504.36,81643.88,81235.42,81425.15
2025-09-11,81217.3,81642.22,81216.91,81548.73
2025-09-12,81758.95,81992.85,81641.38,81904.7
2025-09-15,81925.51,81998.51,81744.7,81785.74
2025-09-16,81852.11,82443.48,81779.94,82380.69
2025-09-17,82506.4,82741.95,82490.47,82693.71
2025-09-18,83108.92,83141.21,82704.92,83013.96
2025-09-19,82946.04,82978.63,82485.92,82626.23
2025-09-22,82151.07,82583.16,81997.29,82159.97
2025-09-23,82147.37,82370.38,81776.53,82102.1
2025-09-24,81917.65,82045.47,81607.84,81715.63
2025-09-25,81574.31,81840.73,81092.89,81159.68
2025-09-26,80956.01,81033.09,80332.41,80426.46
2025-09-29,80588.77,80851.38,80248.84,80364.94
2025-09-30,80541.77,80677.82,80201.15,80267.62
2025-10-01,80173.24,81068.43,80159.9,80983.31
2025-10-03,80684.14,81251.99,80649.57,81207.17
2025-10-06,81274.79,81846.42,81155.88,81790.12
2025-10-07,81883.95,82309.56,81787.48,81926.75
2025-10-08,81899.51,82257.74,81646.08,81773.66
2025-10-09,81900.0,82247.73,81667.68,82172.1
2025-10-10,82075.45,82654.11,82072.93,82500.82
2025-10-13,82049.16,82438.5,82043.14,82327.05
2025-10-14,82404.54,82573.37,81781.62,82029.98
2025-10-15,82197.25,82727.02,82084.37,82605.43
2025-10-16,82794.79,83615.48,82791.35,83467.66
2025-10-17,83331.78,84172.24,83206.08,83952.19
2025-10-20,84269.3,84656.56,84196.79,84363.37
2025-10-21,84484.67,84665.44,84286.4,84426.34
2025-10-23,85154.15,85290.06,84445.25,84556.4
2025-10-24,84667.23,84707.44,83957.15,84211.88
2025-10-27,84297.39,84932.08,84294.2,84778.84
2025-10-28,84625.71,84986.94,84219.39,84628.16
2025-10-29,84663.68,85105.83,84638.68,84997.13
2025-10-30,84750.9,84906.95,84312.65,84404.46
2025-10-31,84379.79,84712.79,83905.66,83938.71
2025-11-03,83835.1,84127.0,83609.54,83978.49
2025-11-04,84000.64,84068.01,83412.77,83459.15
2025-11-06,83516.69,83846.35,83237.65,83311.01
2025-11-07,83150.15,83390.11,82670.95,83216.28
2025-11-10,83198.2,83754.49,83197.67,83535.35
2025-11-11,83671.52,83936.47,83124.03,83871.32
2025-11-12,84238.86,84652.01,84166.75,84466.51
2025-11-13,84525.89,84919.43,84253.05,84478.67
2025-11-14,84060.14,84697.87,84029.32,84562.78
2025-11-17,84700.5,84988.09,84581.08,84950.95
2025-11-18,85042.37,85042.41,84558.36,84673.02
2025-11-19,84643.78,85236.77,84525.98,85186.47
2025-11-20,85470.92,85801.7,85201.22,85632.68
2025-11-21,85347.4,85609.4,85187.84,85231.92
