ts,offset,side,strike,spot,close,volume,oi
2026-08-27 09:45:00,ATM+1,CE,65500.0,65441.61,140.5,138900,102150
2026-08-27 09:50:00,ATM+1,CE,65500.0,65439.63,136.35,95070,109800
2026-08-27 09:55:00,ATM+1,CE,65500.0,65397.2,124.1,75330,121680
2026-08-27 10:00:00,ATM+1,CE,65500.0,65410.67,124.45,60060,132300
2026-08-27 10:05:00,ATM+1,CE,65500.0,65406.35,129.25,50010,133620
2026-08-27 10:10:00,ATM+1,CE,65500.0,65385.84,108.4,62460,143160
2026-08-27 10:15:00,ATM+1,CE,65500.0,65391.43,115.15,50070,156270
2026-08-27 10:20:00,ATM+1,CE,65500.0,65353.38,106.05,46440,157770
2026-08-27 10:25:00,ATM+1,CE,65500.0,65361.81,101.35,45420,161310
2026-08-27 10:30:00,ATM+1,CE,65400.0,65349.76,149.0,44010,82320
2026-08-27 10:35:00,ATM+1,CE,65500.0,65365.22,104.95,27660,170850
2026-08-27 10:40:00,ATM+1,CE,65400.0,65329.51,133.05,53010,89730
2026-08-27 10:45:00,ATM+1,CE,65400.0,65331.16,123.85,55170,90360
2026-08-27 10:50:00,ATM+1,CE,65400.0,65284.09,115.5,64710,97410
2026-08-27 10:55:00,ATM+1,CE,65400.0,65300.16,123.8,33240,102390
2026-08-27 11:00:00,ATM+1,CE,65400.0,65310.44,127.35,58410,109050
2026-08-27 11:05:00,ATM+1,CE,65400.0,65309.7,123.8,39870,113730
2026-08-27 11:10:00,ATM+1,CE,65400.0,65291.25,115.05,25800,115710
2026-08-27 11:15:00,ATM+1,CE,65400.0,65278.72,116.6,37380,116700
2026-08-27 11:20:00,ATM+1,CE,65400.0,65281.9,123.35,34800,116520
2026-08-27 11:25:00,ATM+1,CE,65400.0,65268.5,119.8,52200,117780
2026-08-27 11:30:00,ATM+1,CE,65400.0,65324.4,131.9,36600,117720
2026-08-27 11:35:00,ATM+1,CE,65400.0,65320.56,123.25,35130,116940
2026-08-27 11:40:00,ATM+1,CE,65400.0,65286.42,125.15,24390,122160
2026-08-27 11:45:00,ATM+1,CE,65400.0,65281.4,119.65,13200,122220
2026-08-27 11:50:00,ATM+1,CE,65400.0,65299.31,128.5,21420,126930
2026-08-27 11:55:00,ATM+1,CE,65400.0,65319.86,137.1,31680,126720
2026-08-27 12:00:00,ATM+1,CE,65400.0,65259.22,118.0,42750,126180
2026-08-27 12:05:00,ATM+1,CE,65300.0,65240.12,162.25,55800,64020
2026-08-27 12:10:00,ATM+1,CE,65300.0,65248.37,145.1,52050,68400
2026-08-27 12:15:00,ATM+1,CE,65300.0,65185.32,102.6,101730,88530
2026-08-27 12:20:00,ATM+1,CE,65200.0,65134.74,146.2,121350,59730
2026-08-27 12:25:00,ATM+1,CE,65300.0,65177.33,114.7,103140,120030
2026-08-27 12:30:00,ATM+1,CE,65200.0,65134.55,153.5,69450,75780
