ts,offset,side,strike,spot,close,volume,oi,iv
2026-09-03 10:25:00,ATM-1,CE,76700.0,76789.27,597.6,2780,23620,10.868795
2026-09-03 10:25:00,ATM,CE,76800.0,76789.27,532.0,7060,55820,10.645311
2026-09-03 10:25:00,ATM+1,CE,76900.0,76789.27,476.65,8980,58540,10.585023
2026-09-03 10:25:00,ATM+2,CE,77000.0,76789.27,422.0,21000,289860,10.460689
2026-09-03 10:25:00,ATM+3,CE,77100.0,76789.27,372.35,4020,29700,10.370328
2026-09-03 10:25:00,ATM-3,PE,76500.0,76789.27,262.45,7600,187980,10.44677
2026-09-03 10:25:00,ATM-2,PE,76600.0,76789.27,292.9,2920,44260,10.296002
2026-09-03 10:25:00,ATM-1,PE,76700.0,76789.27,327.7,6140,49680,10.175233
2026-09-03 10:25:00,ATM,PE,76800.0,76789.27,367.45,12920,71140,10.092196
2026-09-03 10:25:00,ATM+1,PE,76900.0,76789.27,404.5,6640,57100,9.864226
2026-09-03 10:25:00,ATM+2,PE,77000.0,76789.27,451.75,14380,261880,9.788574
2026-09-03 10:25:00,ATM+3,PE,77100.0,76789.27,502.45,4180,17740,9.705249
2026-09-03 10:30:00,ATM-3,CE,76500.0,76791.39,717.05,4740,168740,10.773464
2026-09-03 10:30:00,ATM-2,CE,76600.0,76791.39,650.05,520,23940,10.6721
2026-09-03 10:30:00,ATM-1,CE,76700.0,76791.39,585.35,3720,25200,10.551635
2026-09-03 10:30:00,ATM,CE,76800.0,76791.39,523.5,8000,58480,10.422234
2026-09-03 10:30:00,ATM+1,CE,76900.0,76791.39,470.3,6160,61140,10.415316
2026-09-03 10:30:00,ATM+2,CE,77000.0,76791.39,411.45,31900,304980,10.195013
2026-09-03 10:30:00,ATM+3,CE,77100.0,76791.39,366.8,2020,29100,10.221345
2026-09-03 10:30:00,ATM-3,PE,76500.0,76791.39,269.0,14420,188000,10.63161
2026-09-03 10:30:00,ATM-2,PE,76600.0,76791.39,297.5,5800,44860,10.429495
2026-09-03 10:30:00,ATM-1,PE,76700.0,76791.39,335.0,5260,47840,10.371597
2026-09-03 10:30:00,ATM,PE,76800.0,76791.39,374.0,13860,71080,10.269534
2026-09-03 10:30:00,ATM+1,PE,76900.0,76791.39,417.8,13280,59480,10.198698
2026-09-03 10:30:00,ATM+2,PE,77000.0,76791.39,463.0,29680,265120,10.077141
2026-09-03 10:30:00,ATM+3,PE,77100.0,76791.39,512.4,1900,17380,9.967655
2026-09-03 10:35:00,ATM-3,CE,76500.0,76757.3,704.4,7400,169200,11.0092
2026-09-03 10:35:00,ATM-2,CE,76600.0,76757.3,636.3,3520,23940,10.849291
2026-09-03 10:35:00,ATM-1,CE,76700.0,76757.3,568.0,6260,28280,10.613751
2026-09-03 10:35:00,ATM,CE,76800.0,76757.3,512.7,15780,64860,10.609396
2026-09-03 10:35:00,ATM+1,CE,76900.0,76757.3,456.05,8180,61700,10.493292
2026-09-03 10:35:00,ATM+2,CE,77000.0,76757.3,401.15,26560,302300,10.33651
2026-09-03 10:35:00,ATM+3,CE,77100.0,76757.3,355.9,13560,30700,10.32145
2026-09-03 10:35:00,ATM-3,PE,76500.0,76757.3,281.35,16000,187940,10.641989
2026-09-03 10:35:00,ATM-2,PE,76600.0,76757.3,316.25,20100,52320,10.568779
2026-09-03 10:35:00,ATM-1,PE,76700.0,76757.3,352.5,21320,40320,10.451021
2026-09-03 10:35:00,ATM,PE,76800.0,76757.3,394.0,27380,86880,10.378605
2026-09-03 10:35:00,ATM+1,PE,76900.0,76757.3,436.7,30200,56100,10.253188
2026-09-03 10:35:00,ATM+2,PE,77000.0,76757.3,481.15,25860,258900,10.085204
