ts,offset,side,strike,spot,close,volume,oi
2026-08-27 15:10:00,ATM-3,CE,76900.0,77182.91,351.35,137360,132440
2026-08-27 15:15:00,ATM-3,CE,76900.0,77182.91,364.8,140700,113780
2026-08-27 15:20:00,ATM-3,CE,76900.0,77182.91,267.75,684580,126060
2026-08-27 15:25:00,ATM-3,CE,76600.0,76933.59,334.05,7188400,103980
2026-08-27 15:30:00,ATM-3,CE,76600.0,76933.59,333.85,56440,160800
2026-08-27 15:35:00,ATM-3,CE,76600.0,76933.59,332.8,18860,152200
2026-08-27 09:15:00,ATM-3,PE,77200.0,77515.13,29.4,8157760,2164960
2026-08-27 09:20:00,ATM-3,PE,77200.0,77483.71,31.0,4390320,2812180
2026-08-27 09:25:00,ATM-3,PE,77100.0,77397.03,24.85,5291740,2305320
2026-08-27 09:30:00,ATM-3,PE,77100.0,77421.64,26.1,5930140,2289760
2026-08-27 09:35:00,ATM-3,PE,77100.0,77389.84,28.05,4409380,2771840
2026-08-27 09:40:00,ATM-3,PE,77100.0,77442.61,22.65,3305740,2868720
2026-08-27 09:45:00,ATM-3,PE,77200.0,77506.41,31.4,4428140,4763840
2026-08-27 09:50:00,ATM-3,PE,77200.0,77459.35,38.85,4877540,5006000
2026-08-27 09:55:00,ATM-3,PE,77100.0,77411.45,25.55,3832980,3267920
2026-08-27 10:00:00,ATM-3,PE,77100.0,77389.69,28.2,5096640,3613140
2026-08-27 10:05:00,ATM-3,PE,77100.0,77395.9,25.8,3173300,3492720
2026-08-27 10:10:00,ATM-3,PE,77100.0,77360.58,31.55,3163200,3605140
2026-08-27 10:15:00,ATM-3,PE,77100.0,77366.94,27.6,2905600,3769060
2026-08-27 10:20:00,ATM-3,PE,77000.0,77332.4,17.85,2481600,5909420
2026-08-27 10:25:00,ATM-3,PE,77000.0,77335.89,18.25,3873800,6245100
2026-08-27 10:30:00,ATM-3,PE,77100.0,77364.16,26.9,3224800,4110720
2026-08-27 10:35:00,ATM-3,PE,77000.0,77336.62,17.0,1619960,6503880
2026-08-27 10:40:00,ATM-3,PE,77000.0,77304.67,22.75,6154240,6614020
2026-08-27 10:45:00,ATM-3,PE,77000.0,77321.24,22.7,7233600,6791880
2026-08-27 10:50:00,ATM-3,PE,77000.0,77285.89,30.15,10191340,6280840
2026-08-27 10:55:00,ATM-3,PE,77000.0,77274.4,32.4,6562960,6317780
2026-08-27 11:00:00,ATM-3,PE,77000.0,77287.52,27.85,6185640,6177920
2026-08-27 11:05:00,ATM-3,PE,77000.0,77277.96,27.2,3762100,6342260
2026-08-27 11:10:00,ATM-3,PE,77000.0,77257.72,32.25,3923540,6415080
2026-08-27 11:15:00,ATM-3,PE,76900.0,77215.42,23.4,3431080,2402860
2026-08-27 11:20:00,ATM-3,PE,76900.0,77193.58,28.55,6495700,2382200
2026-08-27 11:25:00,ATM-3,PE,76900.0,77204.99,28.95,5026600,2510040
2026-08-27 11:30:00,ATM-3,PE,77000.0,77257.53,34.7,4389740,6310000
2026-08-27 11:35:00,ATM-3,PE,77000.0,77251.57,36.6,3758780,6286240
2026-08-27 11:40:00,ATM-3,PE,76900.0,77231.85,23.95,2734520,2826180
2026-08-27 11:45:00,ATM-3,PE,76900.0,77218.96,24.85,1801100,2820600
2026-08-27 11:50:00,ATM-3,PE,76900.0,77240.23,22.3,2280700,2796280
2026-08-27 11:55:00,ATM-3,PE,77000.0,77258.09,30.7,3759480,6602220
2026-08-27 12:00:00,ATM-3,PE,76900.0,77229.67,21.8,2198040,2914900
2026-08-27 12:05:00,ATM-3,PE,76900.0,77208.58,24.3,3264280,2918020
2026-08-27 12:10:00,ATM-3,PE,77000.0,77256.52,30.4,3722440,7312860
2026-08-27 12:15:00,ATM-3,PE,76900.0,77222.69,20.75,3470060,3074200
2026-08-27 12:20:00,ATM-3,PE,76900.0,77203.98,21.2,2251620,3068000
2026-08-27 12:25:00,ATM-3,PE,77000.0,77252.95,26.25,3794980,7399580
2026-08-27 12:30:00,ATM-3,PE,77000.0,77250.8,25.85,2220660,7831540
2026-08-27 12:35:00,ATM-3,PE,77000.0,77311.45,15.55,8389740,7232320
2026-08-27 12:40:00,ATM-3,PE,77000.0,77304.22,15.8,6016020,7379960
2026-08-27 12:45:00,ATM-3,PE,77000.0,77316.99,14.6,4628220,7339260
2026-08-27 12:50:00,ATM-3,PE,77100.0,77361.65,19.15,6302580,6252320
2026-08-27 12:55:00,ATM-3,PE,77000.0,77348.2,12.3,2710980,7062600
2026-08-27 13:00:00,ATM-3,PE,77100.0,77350.44,18.65,3705760,6405620
