ts,side,strike,spot,close,oi
2026-09-01 12:20:00,PE,77100.0,77136.86,249.95,1038400
2026-09-01 12:25:00,PE,77200.0,77170.38,284.85,1168320
2026-09-01 12:30:00,PE,77200.0,77158.51,283.9,1178980
2026-09-01 12:35:00,PE,77200.0,77156.93,281.0,1209040
2026-09-01 12:40:00,PE,77200.0,77178.54,273.8,1215340
2026-09-01 12:45:00,PE,77200.0,77158.4,283.2,1230140
2026-09-01 12:50:00,PE,77100.0,77100.92,253.35,1092480
2026-09-01 12:55:00,PE,77100.0,77099.47,257.7,1062620
2026-09-01 13:00:00,PE,77100.0,77076.84,272.4,1013240
2026-09-01 13:05:00,PE,77000.0,77036.29,241.35,2351480
2026-09-01 13:10:00,PE,77000.0,76955.67,277.8,2219040
2026-09-01 13:15:00,PE,77000.0,76950.4,280.65,2045740
2026-09-01 13:20:00,PE,77000.0,76974.91,271.8,2015300
2026-09-01 13:25:00,PE,77000.0,76953.42,280.75,2022160
2026-09-01 13:30:00,PE,77000.0,76988.81,264.5,2037240
2026-09-01 13:35:00,PE,76900.0,76928.78,253.55,1126560
2026-09-01 13:40:00,PE,76900.0,76916.09,249.0,1072440
2026-09-01 13:45:00,PE,76900.0,76875.32,265.05,1011980
2026-09-01 13:50:00,PE,76800.0,76785.76,272.9,792940
2026-09-01 13:55:00,PE,76800.0,76810.92,262.0,763840
2026-09-01 14:00:00,PE,76800.0,76753.96,297.1,752500
2026-09-01 14:05:00,PE,76700.0,76669.02,289.5,797280
2026-09-01 14:10:00,PE,76700.0,76698.95,275.15,768740
2026-09-01 14:15:00,PE,76700.0,76691.17,272.1,774440
2026-09-01 14:20:00,PE,76700.0,76672.63,285.55,780880
2026-09-01 14:25:00,PE,76700.0,76740.25,240.8,794180
2026-09-01 14:30:00,PE,76700.0,76748.21,234.6,793400
2026-09-01 14:35:00,PE,76700.0,76707.71,262.9,788980
2026-09-01 14:40:00,PE,76700.0,76693.31,265.4,819300
2026-09-01 14:45:00,PE,76700.0,76700.2,255.65,833820
2026-09-01 14:50:00,PE,76700.0,76743.7,243.0,834360
2026-09-01 14:55:00,PE,76800.0,76751.75,294.05,645340
2026-09-01 15:00:00,PE,76700.0,76728.67,254.0,793960
2026-09-01 15:05:00,PE,76700.0,76711.67,261.05,760340
2026-09-01 15:10:00,PE,76700.0,76718.68,248.85,748240
2026-09-01 15:15:00,PE,76700.0,76725.18,249.9,740480
2026-09-01 15:20:00,PE,76700.0,76725.18,236.9,711200
2026-09-01 15:25:00,PE,76900.0,76944.28,307.1,388280
2026-09-01 15:30:00,PE,76900.0,76944.28,355.5,376920
2026-09-01 15:35:00,PE,76900.0,76944.28,354.75,370620
2026-09-02 09:15:00,PE,76200.0,76224.43,228.3,1247900
2026-09-02 09:20:00,PE,76200.0,76181.1,231.6,1820160
2026-09-02 09:25:00,PE,76300.0,76261.55,262.75,1430540
2026-09-02 09:30:00,PE,76300.0,76341.94,229.75,1556660
2026-09-02 09:35:00,PE,76300.0,76295.17,255.15,1975620
2026-09-02 09:40:00,PE,76300.0,76341.45,236.55,2025680
2026-09-02 09:45:00,PE,76300.0,76320.71,239.4,2175840
2026-09-02 09:50:00,PE,76300.0,76303.43,248.65,2278180
2026-09-02 09:55:00,PE,76400.0,76382.5,264.8,1388720
2026-09-02 10:00:00,PE,76400.0,76373.64,268.25,1580500
2026-09-02 10:05:00,PE,76300.0,76344.0,227.15,2596520
2026-09-02 10:10:00,PE,76300.0,76344.69,219.75,2764940
2026-09-02 10:15:00,PE,76400.0,76396.77,253.0,1714820
2026-09-02 10:20:00,PE,76400.0,76448.37,220.8,1968580
2026-09-02 10:25:00,PE,76500.0,76478.36,255.95,1907180
2026-09-02 10:30:00,PE,76500.0,76478.33,260.55,2385700
2026-09-02 10:35:00,PE,76400.0,76410.14,237.85,2482900
2026-09-02 10:40:00,PE,76400.0,76404.25,239.8,2586340
2026-09-02 10:45:00,PE,76400.0,76406.83,237.85,2587060
2026-09-02 10:50:00,PE,76400.0,76380.03,251.55,2546460
2026-09-02 10:55:00,PE,76400.0,76394.71,246.1,2424140
2026-09-02 11:00:00,PE,76300.0,76330.28,232.0,3117920
2026-09-02 11:05:00,PE,76300.0,76311.2,241.1,2852100
2026-09-02 11:10:00,PE,76300.0,76309.8,234.35,2865500
2026-09-02 11:15:00,PE,76300.0,76319.53,232.1,2847600
2026-09-02 11:20:00,PE,76300.0,76283.88,244.45,2795000
2026-09-02 11:25:00,PE,76300.0,76273.13,245.75,2766500
2026-09-02 11:30:00,PE,76300.0,76259.21,246.35,2693020
2026-09-02 11:35:00,PE,76300.0,76279.37,231.9,2654400
2026-09-02 11:40:00,PE,76300.0,76255.85,243.7,2667060
2026-09-02 11:45:00,PE,76200.0,76249.21,200.15,2879420
2026-09-02 11:50:00,PE,76300.0,76295.86,216.7,2606960
2026-09-02 11:55:00,PE,76300.0,76263.83,240.8,2598840
2026-09-02 12:00:00,PE,76200.0,76238.86,199.8,2882780
2026-09-02 12:05:00,PE,76300.0,76264.69,237.9,2584400
2026-09-02 12:10:00,PE,76300.0,76340.33,200.2,2625820
2026-09-02 12:15:00,PE,76300.0,76313.44,212.45,2705880
2026-09-02 12:20:00,PE,76300.0,76292.43,217.2,2676020
2026-09-02 12:25:00,PE,76300.0,76330.19,197.05,2748900
2026-09-02 12:30:00,PE,76400.0,76374.93,223.2,1796920
2026-09-02 12:35:00,PE,76400.0,76377.26,221.25,1953980
2026-09-02 12:40:00,PE,76400.0,76417.38,207.1,2140680
2026-09-02 12:45:00,PE,76400.0,76401.8,208.15,2250260
2026-09-02 12:50:00,PE,76400.0,76417.73,204.35,2381800
2026-09-02 12:55:00,PE,76400.0,76427.04,199.05,2405300
2026-09-02 13:00:00,PE,76400.0,76429.72,202.65,2633520
2026-09-02 13:05:00,PE,76400.0,76389.99,213.85,2773240
2026-09-02 13:10:00,PE,76400.0,76447.39,187.0,2829060
2026-09-02 13:15:00,PE,76400.0,76438.14,195.55,2907760
