symbol,date,p1510,cas_close,approx_close,auction_move_pct,abs_move_pct,max_pain,mp_dist_pct,atm_oi_share,oi_hhi,pcr_oi,blast_score,best_option
SWIGGY,2026-08-24,283.25,284.25,True,0.353,0.353,285.0,-0.618,20.8,0.167,0.57,0.083,"{'side': 'CE', 'strike': 285.0, 'entry': 2.75, 'settle': 0.0, 'ret_pct': -100.0}"
SWIGGY,2026-08-25,286.65,287.4,False,0.262,0.262,285.0,0.576,16.6,0.168,0.72,0.0703,"{'side': 'CE', 'strike': 290.0, 'entry': 0.15, 'settle': 0.0, 'ret_pct': -100.0}"
DIXON,2026-08-20,14883.0,14850.0,True,-0.222,0.222,14500.0,2.573,28.4,0.141,0.75,0.1357,"{'side': 'CE', 'strike': 15000.0, 'entry': 137.0, 'settle': 0.0, 'ret_pct': -100.0}"
DIXON,2026-08-21,14810.0,14850.0,True,0.27,0.27,14500.0,2.093,32.2,0.155,0.73,0.1636,"{'side': 'CE', 'strike': 15000.0, 'entry': 95.8, 'settle': 0.0, 'ret_pct': -100.0}"
DIXON,2026-08-24,14530.0,14570.0,True,0.275,0.275,14500.0,0.206,34.2,0.154,0.47,0.082,"{'side': 'CE', 'strike': 14750.0, 'entry': 24.8, 'settle': 0.0, 'ret_pct': -100.0}"
DIXON,2026-08-25,14863.0,14990.0,False,0.854,0.854,14000.0,5.806,23.6,0.142,0.61,0.1189,"{'side': 'CE', 'strike': 15000.0, 'entry': 20.0, 'settle': 0.0, 'ret_pct': -100.0}"
HCLTECH,2026-08-20,1322.0,1318.4,True,-0.272,0.272,1330.0,-0.605,20.4,0.125,0.77,0.0611,"{'side': 'PE', 'strike': 1320.0, 'entry': 10.75, 'settle': 1.6, 'ret_pct': -85.0}"
HCLTECH,2026-08-21,1306.8,1302.5,True,-0.329,0.329,1320.0,-1.01,27.6,0.14,1.07,0.1062,"{'side': 'CE', 'strike': 1310.0, 'entry': 11.65, 'settle': 0.0, 'ret_pct': -100.0}"
HCLTECH,2026-08-24,1318.0,1322.0,True,0.303,0.303,1320.0,-0.152,26.1,0.167,0.9,0.0697,"{'side': 'CE', 'strike': 1320.0, 'entry': 9.1, 'settle': 2.0, 'ret_pct': -78.0}"
HCLTECH,2026-08-25,1309.3,1315.8,False,0.496,0.496,1320.0,-0.817,18.5,0.147,0.89,0.0764,"{'side': 'CE', 'strike': 1310.0, 'entry': 5.55, 'settle': 5.8, 'ret_pct': 5.0}"
BSE,2026-08-20,3291.0,3291.1,True,0.003,0.003,3400.0,-3.312,19.9,0.152,0.53,0.1139,"{'side': 'CE', 'strike': 3300.0, 'entry': 51.45, 'settle': 0.0, 'ret_pct': -100.0}"
BSE,2026-08-21,3238.0,3241.0,True,0.093,0.093,3300.0,-1.915,25.9,0.161,0.61,0.1446,"{'side': 'CE', 'strike': 3300.0, 'entry': 17.5, 'settle': 0.0, 'ret_pct': -100.0}"
BSE,2026-08-24,3308.0,3312.7,True,0.142,0.142,3400.0,-2.781,31.3,0.163,0.74,0.1686,"{'side': 'CE', 'strike': 3400.0, 'entry': 5.1, 'settle': 0.0, 'ret_pct': -100.0}"
BSE,2026-08-25,3295.1,3303.0,False,0.24,0.24,3400.0,-3.184,21.7,0.169,0.84,0.1336,"{'side': 'CE', 'strike': 3300.0, 'entry': 4.0, 'settle': 3.0, 'ret_pct': -25.0}"
HINDALCO,2026-08-20,1023.0,1029.85,True,0.67,0.67,1020.0,0.293,30.0,0.133,0.62,0.0688,"{'side': 'CE', 'strike': 1040.0, 'entry': 5.1, 'settle': 0.0, 'ret_pct': -100.0}"
HINDALCO,2026-08-21,1036.0,1034.0,True,-0.193,0.193,1020.0,1.544,27.7,0.132,0.65,0.1242,"{'side': 'CE', 'strike': 1040.0, 'entry': 7.8, 'settle': 0.0, 'ret_pct': -100.0}"
HINDALCO,2026-08-24,1053.5,1058.5,True,0.475,0.475,1040.0,1.281,28.5,0.134,0.54,0.1175,"{'side': 'CE', 'strike': 1060.0, 'entry': 4.2, 'settle': 0.0, 'ret_pct': -100.0}"
HINDALCO,2026-08-25,1046.6,1051.05,False,0.425,0.425,1020.0,2.542,18.3,0.136,0.63,0.096,"{'side': 'CE', 'strike': 1060.0, 'entry': 0.05, 'settle': 0.0, 'ret_pct': -100.0}"
APOLLOHOSP,2026-08-20,8690.5,8735.0,True,0.512,0.512,8700.0,-0.109,28.6,0.167,0.68,0.0715,"{'side': 'CE', 'strike': 8700.0, 'entry': 63.5, 'settle': 35.0, 'ret_pct': -45.0}"
APOLLOHOSP,2026-08-21,8648.0,8693.0,True,0.52,0.52,8700.0,-0.601,23.0,0.171,0.6,0.0904,"{'side': 'CE', 'strike': 8700.0, 'entry': 33.15, 'settle': 0.0, 'ret_pct': -100.0}"
APOLLOHOSP,2026-08-24,8663.0,8702.0,True,0.45,0.45,8700.0,-0.427,18.8,0.174,0.67,0.0714,"{'side': 'CE', 'strike': 8700.0, 'entry': 28.6, 'settle': 2.0, 'ret_pct': -93.0}"
APOLLOHOSP,2026-08-25,8840.0,8889.0,False,0.554,0.554,8800.0,0.452,27.6,0.153,0.76,0.0836,"{'side': 'CE', 'strike': 8900.0, 'entry': 0.05, 'settle': 0.0, 'ret_pct': -100.0}"
LT,2026-08-20,4060.9,4081.0,True,0.495,0.495,4000.0,1.5,52.0,0.217,0.5,0.336,"{'side': 'CE', 'strike': 4100.0, 'entry': 17.5, 'settle': 0.0, 'ret_pct': -100.0}"
LT,2026-08-21,4065.0,4093.0,True,0.689,0.689,4000.0,1.599,44.8,0.186,0.44,0.2545,"{'side': 'CE', 'strike': 4100.0, 'entry': 11.3, 'settle': 0.0, 'ret_pct': -100.0}"
