,minute,preCAS_pct,CAS_pct,preCAS_pts,CAS_pts
52,52,85.66260530314229,89.17837010795571,117.78710906449669,122.62132781192122
53,53,85.51494007857093,89.06930844484457,117.58406761076003,122.47136671790395
54,54,85.37225949360932,88.96398035248784,117.38788009623386,122.3265393284255
55,55,85.23919449852683,88.86579683544632,117.20491413304626,122.19153581564206
56,56,85.11267142324093,88.77248189515967,117.03094338799201,122.0632266542525
57,57,84.98316650080675,88.67700982283814,116.85287256736774,121.93195141045908
58,58,84.86538134261798,88.59021473452398,116.69091656305682,121.81260712368021
59,59,84.73286529151684,88.4926069087859,116.50870540442338,121.67839519333938
60,60,84.59173198526221,88.38870132185858,116.31464541666537,121.53552376587686
61,61,84.44060220944742,88.27749289485779,116.10684016344203,121.38261084577971
62,62,84.29006899353143,88.16678204636956,115.89985518723006,121.23038210210143
63,63,84.13119692943081,88.05000200482822,115.68140419481279,121.06980814522831
64,64,83.98297068481854,87.94110644307904,115.47759133179534,120.92007544257467
65,65,83.84351200952887,87.83870441134755,115.28583398168666,120.77927142152839
66,66,83.71008658067488,87.7407801768331,115.10237241774303,120.64462442532749
67,67,83.57323315034797,87.64038866271859,114.91419731068527,120.50658489010311
68,68,83.43879679594195,87.54181834021279,114.72934571199039,120.37104951516994
69,69,83.30364385395174,87.44277082239239,114.54350879677804,120.23485799095943
70,70,83.16140342565232,87.33858159715471,114.34792650293821,120.09159655742042
71,71,83.02273781131208,87.23706277909498,114.15725962114084,119.95200696575921
72,72,82.88900475841646,87.13920386062661,113.97337507045268,119.81744977990456
73,73,82.75767905091747,87.04315321501332,113.79280064853992,119.68537899090006
74,74,82.62114148238243,86.94333988810781,113.60505985523196,119.54813447001834
75,75,82.48879554386754,86.84663884337184,113.42308260344362,119.4151693744243
76,76,82.35720908185402,86.75053979332337,113.2421496409479,119.28303202874122
77,77,82.22078482510533,86.65095736878386,113.05456465270436,119.14610500138042
78,78,82.08525916083326,86.55208115826477,112.86821523988692,119.01014902676252
79,79,81.96033576866793,86.46098464969009,112.69644407829765,118.88489023556758
80,80,81.84144384028602,86.37432621140381,112.53296625170515,118.76573384421499
81,81,81.72641097081255,86.29051764938268,112.37479467736739,118.65049606688626
82,82,81.61810239550465,86.21164157148853,112.22586908810626,118.54204051435408
83,83,81.51149464859152,86.1340358698485,112.07928215827451,118.43533174439835
84,84,81.40422900711735,86.05598312001507,111.93179061553565,118.3280082778183
85,85,81.29658326652006,85.97768601319112,111.78377643194654,118.2203488174473
86,86,81.18576800345231,85.89711734047602,111.63140411696986,118.10956592674847
87,87,81.0695604714553,85.81266515208506,111.47161736758244,117.99344315544658
88,88,80.95353737418189,85.72838485109186,111.31208421815063,117.8775567313769
89,89,80.8336010804949,85.64130184198187,111.14717037674563,117.75781655005267
90,90,80.70870402707712,85.55066015678909,110.97543543124993,117.63318314645949
91,91,80.58390003157079,85.46013018967214,110.8038284414979,117.50870335655964
92,92,80.46083517835761,85.37090514119107,110.63461279324474,117.38601784542516
93,93,80.3427665580542,85.28534310261777,110.47226702512853,117.26836901681963
94,94,80.22834358913052,85.20246106467148,110.31493407135713,117.15440522119934
95,95,80.12548874894372,85.12799044765626,110.17350743325733,117.0520072301806
96,96,80.02577980763719,85.05582663789052,110.0364064438254,116.95278112677988
97,97,79.92938835370835,84.98609111040439,109.90386703930199,116.85689394061956
98,98,79.82547614193913,84.91094470548347,109.76098650260246,116.75356673313036
99,99,79.72361810835497,84.83731421600513,109.62093048552924,116.65232392754478
100,100,79.6171183149475,84.76036058201302,109.47449199306175,116.54651175842082
101,101,79.50914244928168,84.68237414114714,109.32602388354644,116.4392794674659
102,102,79.40397362060398,84.60644787252252,109.1814154835356,116.33487993803647
103,103,79.30512664828684,84.53511520290677,109.04549971179586,116.23679666230419
104,104,79.19949830291961,84.45892051187602,108.90025947082904,116.13202804884895
105,105,79.08941959235742,84.3795505505626,108.74889992437602,116.02289340069547
106,106,78.97413919724809,84.29646841139235,108.59038799932205,115.9086544634938
107,107,78.85132122346158,84.20799730718119,108.4215118132397,115.78700563476741
108,108,78.7251881504734,84.11718487610173,108.24807732601948,115.66213745353343
109,109,78.6028621130716,84.02915873634059,108.07987755836257,115.5411004562593
110,110,78.48627865029934,83.94530663778423,107.91957389965319,115.4258028156728
111,111,78.37397654505574,83.86457245586308,107.76515715886308,115.31479234783183
112,112,78.26755335890586,83.78809966868437,107.61882400229297,115.2096413488398
113,113,78.15795299579479,83.70937957906011,107.46812218931882,115.10140028204842
114,114,78.05217090851458,83.6334364308597,107.3226705513789,114.99697754299996
115,115,77.95093437615134,83.56078843161576,107.18346910593391,114.89708567326306
116,116,77.85248994310085,83.49017396729593,107.04810683051073,114.79998993842128
117,117,77.7535573535112,83.41923913082438,106.91207333399507,114.7024536880308
118,118,77.66014563740923,83.35229024337163,106.78363110469945,114.61039816531775
119,119,77.55988992929508,83.28046597843863,106.64577830435337,114.51163894013189
120,120,77.44992564014736,83.20172191058384,106.49457608871671,114.40336490298614
121,121,77.33348710422872,83.1183823450862,106.33447170616819,114.28877200149873
122,122,77.21305822099869,83.03223083010323,106.16888054823721,114.17031263576428
123,123,77.08683233789219,82.94198058012545,105.99531844599187,114.04621746028351
124,124,76.96528175286575,82.85511997265795,105.82818493464583,113.92678308388349
125,125,76.84882155008563,82.7719402308821,105.66805075990305,113.81240994192922
126,126,76.73900422807264,82.69354394850339,105.51705062583824,113.70461411398173
127,127,76.636393025854,82.62032617785104,105.37595899286498,113.60393880172887
128,128,76.53588099999945,82.54863839781358,105.23775375255354,113.5053672449103
129,129,76.43604299790287,82.47746291271466,105.10047530298834,113.40750009977273
130,130,76.34004785758476,82.40905678182975,104.96848083443001,113.31344084987359
131,131,76.2425080207441,82.33957984056627,104.83436238963804,113.21790922286891
132,132,76.13572048480022,82.26355052481354,104.68752824773401,113.11336800240315
133,133,76.03598794163592,82.19257697699061,104.55039480546475,113.01577852344053
134,134,75.93369712605997,82.11981589866191,104.40974370796539,112.91573116860673
135,135,75.81639057176979,82.03641518173418,104.24844578975171,112.80105418316998
136,136,75.69349317539915,81.9490870408726,104.07946039666422,112.68097694274911
137,137,75.57317646866066,81.8636398756037,103.91402348275369,112.563486066314
138,138,75.4516743129953,81.77739835863377,103.74695656235963,112.4449029467687
139,139,75.3326461495562,81.69295933261321,103.58329141093054,112.32879827388388
140,140,75.22058889390765,81.61350765021041,103.42921134126846,112.21955125825298
141,141,75.1129763590971,81.53724599409452,103.28124281603414,112.11469056700298
142,142,75.00658980923342,81.46189043268133,103.13496003479668,112.01107576682989
143,143,74.89627398772913,81.38379094823837,102.98327445795621,111.90368803960155
144,144,74.78225837617717,81.3031142688123,102.8265016254536,111.79275663838052
145,145,74.6769184651979,81.22861461615204,102.6816579852275,111.69031872300184
146,146,74.57056231282291,81.15343353373603,102.53541700090136,111.58694383354123
147,147,74.45956438751877,81.07501134030935,102.38279352316022,111.47911237759217
148,148,74.35303051096153,80.9997816802244,102.23630816595323,111.3756706932545
149,149,74.2449827452943,80.92352169974032,102.08774119307418,111.27081230601834
150,150,74.12690178495129,80.84022502844476,101.92537845725565,111.15627838457294
151,151,74.00918439372266,80.75723146019098,101.76351563332719,111.04216123344304
152,152,73.89384359991683,80.67595874985271,101.60492065934159,110.93041028257358
153,153,73.77482520600343,80.59214183800746,101.44126894112742,110.81516102413661
154,154,73.66340700459115,80.51372077865454,101.28806757870007,110.7073311275526
155,155,73.55601916793213,80.4381764250112,101.14040801611736,110.60345673580014
156,156,73.45293033391668,80.36569330085928,100.99865963369848,110.503791571291
157,157,73.35304865994532,80.29549983843258,100.86132113478197,110.4072747190985
158,158,73.25040901299143,80.22340380429588,100.72019038995677,110.30814180800007
159,159,73.14304701098483,80.14802945830716,100.57256635033082,110.20450117881046
160,160,73.03755733610706,80.07400830187287,100.42751678294917,110.10272120147783
161,161,72.92390129959247,79.99429994281772,100.27123837043291,109.99312125237338
162,162,72.81354710672481,79.91695006728594,100.11950003250786,109.88676424638288
163,163,72.70183946903525,79.83869466549322,99.96590069172998,109.77916213092976
164,164,72.58202019727842,79.75480514334865,99.80114775688162,109.6638130324609
165,165,72.45302491589378,79.66454734307491,99.62377769880914,109.53970747523272
166,166,72.32491071568509,79.57496385686072,99.44761913791444,109.4165291079189
167,167,72.19186284526357,79.48199172120715,99.26467672134095,109.28869130700878
168,168,72.05791497202196,79.3884538897069,99.08049679010219,109.16007566752887
169,169,71.9306195899917,79.29962057819723,98.90546411401738,109.03792879942557
170,170,71.81077754946037,79.21604130306342,98.74067987183116,108.9230062943152
171,171,71.69530642763262,79.13555886966084,98.58190569525323,108.81234198370475
172,172,71.57813975736904,79.0539434671457,98.42080011925282,108.70011982698452
173,173,71.46295267065904,78.97375507142685,98.26241649436633,108.58985982171362
174,174,71.35095601593187,78.8958335647972,98.10841975169751,108.48271681611186
175,175,71.23731843940064,78.81681672727815,97.95216672187962,108.37406771740825
176,176,71.1205850247102,78.73569597377833,97.79165687748537,108.26252570901306
177,177,71.00820652604888,78.6576483648232,97.63713509483023,108.15520931120227
178,178,70.8968972874477,78.5803887694305,97.4840835575742,108.04897644148514
179,179,70.77342555188478,78.49474022759114,97.31430844121314,107.93120866985191
180,180,70.64195926550336,78.40360761766327,97.13354072165203,107.80590023886361
181,181,70.50776607653985,78.31065036190915,96.94902347835523,107.67808289799359
182,182,70.3657011982003,78.21231282190672,96.7536825678144,107.54286760179275
183,183,70.22510605173426,78.11506634746877,96.5603625562162,107.40915253382082
184,184,70.09699212938403,78.02651694042298,96.38420437738023,107.2873960377583
185,185,69.97429969194839,77.9417722245739,96.21550080528505,107.17087103769518
186,186,69.85416795584278,77.85885088005782,96.05031822821184,107.05685319507029
187,187,69.73718511707297,77.77815522661837,95.88946542271879,106.94589570435346
188,188,69.61520042123568,77.69406423733963,95.7217350038045,106.83026958616028
189,189,69.49010606592415,77.60788806999602,95.54972876583997,106.71177632313447
190,190,69.36639600756737,77.5227239654492,95.37962595278077,106.59467465858506
191,191,69.24081594170828,77.43633214799284,95.20695185699151,106.47588487406938
192,192,69.11392002029687,77.34909632885714,95.03246844404566,106.35593457712821
193,193,68.98807883510194,77.26264658719225,94.85943530603981,106.2370651461315
194,194,68.84368832345946,77.16352900991107,94.66089662183185,106.10077728932265
195,195,68.6960008104999,77.06223150872947,94.45782452129424,105.96149201102162
196,196,68.54473785413691,76.95856933239598,94.24983614322082,105.8189552760432
197,197,68.38507695781936,76.84924861187127,94.03030049705012,105.66863797497717
198,198,68.22910372420151,76.74254910843561,93.81583543129273,105.52192487882712
199,199,68.0889278122901,76.64673786616453,93.62309187223218,105.39018327228769
200,200,67.9548646866449,76.55517720812948,93.43875346755704,105.26428627002133
201,201,67.82575071851554,76.46706386270331,93.26122021378796,105.14312936391252
202,202,67.70418761714268,76.3841640520996,93.09406949231561,105.02914113067527
203,203,67.58414376274645,76.30235803799316,92.92900775364615,104.91665688073226
204,204,67.4655429845885,76.22159196908342,92.76593026210139,104.80560256789977
205,205,67.3419024088993,76.1374538626326,92.59592298854295,104.68991166303022
206,206,67.2175169606362,76.0528708916324,92.42489150626716,104.57360906407303
207,207,67.09955484039128,75.97271349205356,92.26269217700792,104.46339167886617
208,208,66.97671554901,75.88930182566045,92.09378667897727,104.34869963778328
209,209,66.85033695422675,75.80355080897776,91.92001459634594,104.23079096201218
210,210,66.71709144058737,75.71321089311832,91.73680041797888,104.1065724948694
211,211,66.58125407237023,75.62118843827005,91.55002240850081,103.98004051644966
212,212,66.44042581980476,75.52586487879803,91.35638187322184,103.84896947960442
213,213,66.29787036761208,75.429455421726,91.16036641775281,103.71640532054334
214,214,66.15058077359404,75.32993255963802,90.95784146052938,103.57956019226731
215,215,66.00542788655802,75.23194157004319,90.75825450101729,103.44482140703076
216,216,65.85876845662045,75.13302271370252,90.55659602695778,103.30880679389702
217,217,65.71557187694926,75.03652631123214,90.3596990135211,103.17612308387106
218,218,65.5717235983129,74.93967746196685,90.1619059061959,103.0429547552776
219,219,65.43540320316784,74.84797743126033,89.97446372890226,102.91686611391742
220,220,65.30818397030089,74.76247050987148,89.79953575882973,102.79929307210114
221,221,65.18357734402207,74.6787862044799,89.62820015413126,102.68422614912743
222,222,65.04997254114772,74.58913233258029,89.4444919487596,102.5609510006525
223,223,64.92037591914672,74.50224102785195,89.26629504013181,102.44147441515088
224,224,64.7646510970075,74.3979267677736,89.05217154313505,102.29804105720723
225,225,64.59401513630593,74.28374409147176,88.81754505188655,102.14103850867104
226,226,64.411888528079,74.16201141548568,88.56711878256101,101.97365462007292
227,227,64.22832818240389,74.03946644411268,88.31472110705909,101.80515381558143
228,228,64.03214958696239,73.90866038596656,88.044973186883,101.62529391775752
229,229,63.86118208184788,73.79480224130359,87.80989081809275,101.46873760411472
230,230,63.69463335023785,73.68401093496543,87.58088431583565,101.31639822992838
231,231,63.53203943620278,73.57596912306981,87.3573157351475,101.16783944355666
232,232,63.36325402172089,73.46393771943265,87.12523376713216,101.0137949207201
233,233,63.197619607687884,73.3541217335384,86.89748446250269,100.86279662383458
234,234,63.02800996929881,73.24179797113803,86.66426917673562,100.70835010419432
235,235,62.85736182770793,73.12891756961977,86.42962593661832,100.55313819909497
236,236,62.68498184432516,73.01502572447409,86.19260139327889,100.39653554688448
237,237,62.52377050327067,72.90863557669923,85.9709338670109,100.25024781847605
238,238,62.363647021683,72.803081127557,85.75076216054913,100.10510918570435
239,239,62.19182723242793,72.68994752758925,85.51450789084993,99.94954912970206
240,240,62.0194613217794,72.57659136049342,85.27750269768876,99.7936830412309
241,241,61.84691224534836,72.46325283686951,85.04024564938118,99.63784121274512
242,242,61.666781099952914,72.34508216338727,84.79256316536703,99.4753551202848
243,243,61.48353123653939,72.22502153798483,84.5405924066963,99.31027032128077
244,244,61.306260928252634,72.10902902654259,84.29684360799729,99.15077922773344
