signal,hour_bucket,n,days,idx_hit30,idx_mfe60_med,p_mfe30_ge50,p_mfe60_ge50,p_mfe60_ge100,mfe60_med,ret30_mean,ret60_mean,ret60_net_mean,p_ret60_pos,bracket_mean,bracket_win,bracket_pts_mean,p0_med
RSI_mom,12-13,39,26,38.46,0.06,15.38,23.08,0.0,23.04,-3.89,-4.66,-6.48,48.72,-6.41,23.08,-9.87,115.57
RSI_mom,13-14,44,29,45.45,0.09,22.73,29.55,9.09,28.1,2.48,-17.65,-19.49,34.09,-7.11,27.27,-12.0,109.88
RSI_mom,14-15,54,32,46.3,0.14,31.48,40.74,14.81,37.36,-17.42,-39.13,-41.17,18.52,-3.66,35.19,-4.81,80.89
RSI_mom,15-15:30,17,16,58.82,0.04,35.29,35.29,35.29,22.69,15.0,15.0,7.41,41.18,-13.72,29.41,-4.12,36.27
RangeExp,09:15-10,3,3,33.33,0.14,0.0,0.0,0.0,21.41,-18.04,-28.45,-29.26,33.33,-17.16,0.0,-37.63,197.88
RangeExp,11-12,5,5,20.0,0.05,20.0,20.0,20.0,14.14,-11.61,-18.28,-19.18,20.0,-14.91,20.0,-24.2,241.48
RangeExp,12-13,4,3,50.0,0.17,25.0,25.0,0.0,38.78,-13.15,-22.46,-23.55,50.0,0.23,25.0,4.39,232.45
RangeExp,13-14,11,11,45.45,0.11,27.27,27.27,18.18,33.93,-8.65,-8.25,-10.0,27.27,-9.96,27.27,-14.74,118.87
RangeExp,14-15,6,6,50.0,0.11,33.33,50.0,16.67,46.75,-31.38,-42.32,-43.89,33.33,7.9,50.0,10.87,99.85
RangeExp,15-15:30,8,7,62.5,0.14,50.0,50.0,37.5,67.56,50.74,50.74,44.73,37.5,-3.99,37.5,-2.3,58.63
SessMean_cross,10-11,74,30,45.95,0.1,22.97,39.19,10.81,31.89,1.86,2.9,1.29,47.3,1.28,37.84,2.9,131.61
SessMean_cross,11-12,43,22,53.49,0.08,13.95,20.93,6.98,23.31,-2.63,2.16,0.33,53.49,-4.13,20.93,-7.46,114.63
SessMean_cross,12-13,35,17,42.86,0.08,25.71,31.43,5.71,22.96,3.01,-1.87,-3.77,45.71,0.31,31.43,0.47,113.89
SessMean_cross,13-14,51,19,45.1,0.1,29.41,37.25,13.73,29.13,0.88,-13.14,-15.02,33.33,-9.2,25.49,-11.72,108.17
SessMean_cross,14-15,48,21,37.5,0.09,33.33,41.67,18.75,38.99,-29.03,-39.95,-42.14,16.67,-17.45,18.75,-15.95,85.07
SessMean_cross,15-15:30,17,12,47.06,0.05,41.18,41.18,23.53,29.35,-20.76,-20.76,-25.37,29.41,-7.32,35.29,-4.63,40.57
