index,cond,k,window,n,signals_per_day,k_share,p0_med,otm_pts_med,p_2x,p_3x,p_5x,p_10x,net_mean,net_median,p_net_pos,p_lose_half,take5_mean,take3_mean
SENSEX,LEAN,0,14:15–14:55,1,0.022222222222222223,"{""1"": 1.0}",102.628511365343,51.580000000001746,0.0,0.0,0.0,0.0,-88.88119529899554,-88.88119529899554,0.0,100.0,-88.88119529899554,-88.88119529899554
SENSEX,LEAN,0,all,22,0.4888888888888889,"{""1"": 0.59, ""2"": 0.41}",66.48547751765727,126.73999999999796,18.181818181818183,0.0,0.0,0.0,-32.3920295195185,-48.72050781119302,18.181818181818183,40.909090909090914,-32.3920295195185,-32.3920295195185
SENSEX,LEAN,1,09:15–09:45,0,0.0,,,,,,,,,,,,,
SENSEX,LEAN,1,09:45–10:15,0,0.0,,,,,,,,,,,,,
SENSEX,LEAN,1,10:15–10:45,0,0.0,,,,,,,,,,,,,
SENSEX,LEAN,1,10:45–11:15,0,0.0,,,,,,,,,,,,,
SENSEX,LEAN,1,11:15–11:45,0,0.0,,,,,,,,,,,,,
SENSEX,LEAN,1,11:45–12:15,0,0.0,,,,,,,,,,,,,
SENSEX,LEAN,1,12:15–12:45,3,0.06666666666666667,,94.06184412438597,92.02999999999884,0.0,0.0,0.0,0.0,-47.950010311566956,-82.46284954625736,33.33333333333333,66.66666666666666,-47.950010311566956,-47.950010311566956
SENSEX,LEAN,1,12:45–13:15,5,0.1111111111111111,,87.69677736475205,109.66000000000349,0.0,0.0,0.0,0.0,-33.55218263141467,-27.719359604433468,0.0,20.0,-33.55218263141467,-33.55218263141467
SENSEX,LEAN,1,13:15–13:45,7,0.15555555555555556,,56.39324940840379,107.7699999999968,14.285714285714285,0.0,0.0,0.0,-22.750224994474124,-41.00719235465286,28.57142857142857,14.285714285714285,-22.750224994474124,-22.750224994474124
SENSEX,LEAN,1,13:45–14:15,6,0.13333333333333333,,52.90774486512055,84.34000000000015,16.666666666666664,0.0,0.0,0.0,-6.246262230725689,6.678705286184372,66.66666666666666,16.666666666666664,-6.246262230725689,-6.246262230725689
SENSEX,LEAN,1,14:15–14:55,1,0.022222222222222223,,102.628511365343,51.580000000001746,0.0,0.0,0.0,0.0,-88.88119529899554,-88.88119529899554,0.0,100.0,-88.88119529899554,-88.88119529899554
