index,cond,k,window,n,signals_per_day,k_share,p0_med,otm_pts_med,p_2x,p_3x,p_5x,p_10x,net_mean,net_median,p_net_pos,p_lose_half,take5_mean,take3_mean
NIFTY,LEAN,1,14:15–14:55,16,0.13675213675213677,,10.598627265731466,55.95000000000073,6.25,0.0,0.0,0.0,-28.346466845866082,-38.36777529892676,12.5,43.75,-28.346466845866082,-28.346466845866082
NIFTY,LEAN,1,all,82,0.7008547008547008,,13.385747439172974,48.225000000000364,29.268292682926827,9.75609756097561,3.6585365853658534,1.2195121951219512,8.35659134272733,-27.642756237318167,31.70731707317073,36.58536585365854,-3.357112262683114,-4.35104578127049
NIFTY,LEAN,2,09:15–09:45,0,0.0,,,,,,,,,,,,,
NIFTY,LEAN,2,09:45–10:15,0,0.0,,,,,,,,,,,,,
NIFTY,LEAN,2,10:15–10:45,0,0.0,,,,,,,,,,,,,
NIFTY,LEAN,2,10:45–11:15,0,0.0,,,,,,,,,,,,,
NIFTY,LEAN,2,11:15–11:45,0,0.0,,,,,,,,,,,,,
NIFTY,LEAN,2,11:45–12:15,1,0.008547008547008548,,11.281188595010462,90.34999999999854,0.0,0.0,0.0,0.0,-50.99794190736409,-50.99794190736409,0.0,100.0,-50.99794190736409,-50.99794190736409
NIFTY,LEAN,2,12:15–12:45,3,0.02564102564102564,,6.260837421989436,99.79999999999927,66.66666666666666,0.0,0.0,0.0,-8.177407717924067,-21.099314428194084,33.33333333333333,0.0,-8.177407717924067,-8.177407717924067
NIFTY,LEAN,2,12:45–13:15,13,0.1111111111111111,,8.265214228880268,96.54999999999927,46.15384615384615,30.76923076923077,15.384615384615385,0.0,27.144573312856103,-1.566101377243856,38.46153846153847,30.76923076923077,44.93488454617197,42.77790756868265
NIFTY,LEAN,2,13:15–13:45,29,0.24786324786324787,,4.154695732051778,95.5,37.93103448275862,24.137931034482758,3.4482758620689653,0.0,-7.078360341950718,-50.0,27.586206896551722,58.620689655172406,-16.24764282515559,0.8982745651746692
NIFTY,LEAN,2,13:45–14:15,20,0.17094017094017094,,4.328430148720713,104.02499999999964,50.0,30.0,15.0,0.0,7.832030224594773,-68.48544748204483,20.0,70.0,-9.772399487453072,-7.29029490543798
NIFTY,LEAN,2,14:15–14:55,16,0.13675213675213677,,2.7878709805640938,105.95000000000073,6.25,6.25,0.0,0.0,-44.53091572816206,-57.60982474192715,6.25,75.0,-44.53091572816206,-46.03711551821979
NIFTY,LEAN,2,all,82,0.7008547008547008,,4.220091074381344,98.22500000000036,36.58536585365854,21.951219512195124,7.317073170731707,0.0,-5.8997220618204285,-50.0,23.170731707317074,58.536585365853654,-10.615865235244721,-4.582526227786253
NIFTY,LEAN,3,09:15–09:45,0,0.0,,,,,,,,,,,,,
NIFTY,LEAN,3,09:45–10:15,0,0.0,,,,,,,,,,,,,
NIFTY,LEAN,3,10:15–10:45,0,0.0,,,,,,,,,,,,,
NIFTY,LEAN,3,10:45–11:15,0,0.0,,,,,,,,,,,,,
NIFTY,LEAN,3,11:15–11:45,0,0.0,,,,,,,,,,,,,
